Имя,Дата защиты,Ученая степень,Научный руководитель:,Официальные оппоненты:,Работа выполнена в:,Ведущая организация:,Диссертационный совет:,Научный консультант:,Научный руководитель / консультант:,Работа выполнена:,Дата защиты:,Работа выполнена в,Работа выполнена на:,V1,"Работа
выполнена в:","Работа выполнена
в:","Ведущая
организация:",Работа выполнена на,Научные руководители:,Научный консультант,Работа выполнена,"Ведущая 
 организация:","Научный
руководитель:",Научные консультанты:,Научный руководитель,Официальные оппоненты,"Организация, где выполнена работа",Ведущая организация,Диссертация защищена,  Фото,Тамбовский государственный университет им. Г.Р. Державина,Диссертационный совет: 12.10.419,Фото,"Организация, где выполнена диссертация",V2
Айбазова Фатима Умаровна, 17 октября 2008 года, доктор исторических наук,,"Королев  Анатолий Акимович,
Котеленец  Елена Анатольевна, Никонов  Александр Васильевич","кафедра отечественной истории
Карачаево-Черкесского государственного университета им. У.Д.Алиева","Российская академия государственной службы
при Президенте РФ (РАГС)",Д 212.203.03 в РУДН,Кулаев  Чермен Степанович,,,,,,,,,,,,,,,,,,,,,,,,,,,
Айвазян Шогик Грандовна, 10 декабря 2016 года, кандидат медицинских наук,"Элланский Юрий Геннадьевич, Доника Алена Димитриевна","Приз Евгения Вячеславовна,
Чеботарева Ольга Александровна,",Ростовский государственный медицинский университет,Астраханский государственный медицинский университет,"208.008.04 при Волгоградском государственном медицинском
университете",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акопян Каринэ Владимировна, 29 ноября 2009 года, кандидат филологических наук,"Алимов В. В., Аванесян Ж. Г.","Сидоров Евгений Владимирович,
Ковалев Л. Н.",Военный университет МО РФ,Московский государственный областной университет,215.005.01 Военный университет МО РФ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аксенов Александр Петрович, 20 июня 2007 года, доктор экономических наук,,"Латфуллин Габдельахат Рашидович, Гретченко Анатолий Иванович, Магомедов Шамиль Магомедович",,"Государственное учреждение «Институт
макроэкономических исследований Министерства экономического развития и
торговли Российской Федерации»",Д 212.049.06 при Государственном универститете управления,Бусов Владимир Иванович,,,,,кафедра оценки и управления собственностью ГОУ ВПО «Государственный универститет управления»,,,,,,,,,,,,,,,,,,,,,,
Аксенов Дмитрий Вячеславович, 6 апреля 2000, кандидат политических наук,Марчук Н. И.,"Сыздыкова Ж.
С., Гольдин Г. Г.",,"Центр проблем СНГ
Дипломатической академии МИД","151.04.08 Российская академия
государственной службы при Президенте Российской Федерации РАНХиГС",,,,,,,,"Российская академия государственной службы
при Президенте Российской Федерации РАНХиГС",,,,,,,,,,,,,,,,,,,,
Аксенов Сергей Леонидович, 2004, доктор экономических наук,,"Серегина Светлана Федоровна*, Репникова Валентина Михайловна, Пилипепко Ольга Ивановна",на кафедре основ экономической теории в Московском государственном институте электроники и математики (техническом университете),Московский педагогический государственный университет,212.198.01 РГГУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аксоров Мухамед Галимович, 23 июня 2011 года, кандидат экономических наук,Шидов Андемиркан Хачимович,"Батов Гумар Хасанович,
Хайманов Тамирлан Тотразович",Кабардино-Балкарский государственный университет им. Х.М.Бербекова,Ставропольский государственный аграрный университет,220.023.03 Горский государственный аграрный университет,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аксянов Ильзар Мустафович, 27 декабря 2004 года, кандидат педагогических наук,Мартиросян Б. П.,"Бешенков С. А.,
Новиков В. А.",Институт информатизации образования Российской академии образования,Волжская гос инж-педагогическая академия,008.004.01 Институт информатизации образования Российской академии образования (ИИО РАО),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Александров Александр Эрнстович, 23 января 2009 года, доктор технических наук,,"Аккерман Геннадий Львович,
Бородин Андрей Федорович, Куренков Петр Владимирович",,НИИАС,218.013.01 Уральского государственного университета путей сообщения УрГУПС,Козлов Петр Алексеевич,,,,Уральском государственном университете путей сообщения УрГУПС,,,,,,,,,,,,,,,,,,,,,,,
Александров Александр Анатольевич, 30 июня 2008 года, кандидат технических наук,Бром Алла Ефимовна,"Захаров Михаил Николаевич,
Овсянников Михаил Владимирович",Московском государственном техническом университете имени Н Э Баумана,Государственный космический научно-производственный центр им Н В Хруничева,212.141.05 при Московском государственном техническом университете имени Н Э Баумана,,,,,,,,,,,,,,,,,,,,,,,,,,,,
